MeasureName,Aliases,Domain,Business Capability,Capability Description,Capability Confidence,Measure Description,Evidence / Source Excerpt
W Solver Flag Avoid Build Ahead In Inventory Plan,Solver Flag Avoid Build Ahead In Inventory Plan,Supply Planning,Supply Planning Configuration & Solver Settings,"Configures supply planning solver parameters, planning horizons, optimization strategies, and inventory plan policies.",HIGH,"Solver flag preventing early inventory build-ahead in the plan, supporting lean inventory strategies and cash flow optimization.",Solver Flag Avoid Build Ahead for lean inventory planning
W Solver Flag Avoid Build Ahead In Inventory Plan,Solver Flag Avoid Build Ahead In Inventory Plan,Supply Planning,Inventory Planning & Management,"Manages inventory levels, replenishment, and stock policies including weeks-of-supply and days-of-supply targets.",HIGH,"Solver flag preventing early inventory build-ahead in the plan, supporting lean inventory strategies and cash flow optimization.",Solver Flag Avoid Build Ahead for lean inventory planning
W Solver Flag Minimize Inventory Build Ahead,Solver Flag Minimize Inventory Build Ahead,Supply Planning,Supply Planning Configuration & Solver Settings,"Configures supply planning solver parameters, planning horizons, optimization strategies, and inventory plan policies.",HIGH,"Solver flag minimizing inventory pre-build quantities, balancing service level targets against inventory carrying cost objectives.",Solver Flag Minimize Build Ahead for inventory cost control
W Solver Flag Minimize Inventory Build Ahead,Solver Flag Minimize Inventory Build Ahead,Supply Planning,Inventory Planning & Management,"Manages inventory levels, replenishment, and stock policies including weeks-of-supply and days-of-supply targets.",HIGH,"Solver flag minimizing inventory pre-build quantities, balancing service level targets against inventory carrying cost objectives.",Solver Flag Minimize Build Ahead for inventory cost control
W Solver Flag Inventory Plan Policy,Solver Flag Inventory Plan Policy,Supply Planning,Supply Planning Configuration & Solver Settings,"Configures supply planning solver parameters, planning horizons, optimization strategies, and inventory plan policies.",HIGH,Solver configuration flag defining the overall inventory planning policy governing replenishment and safety stock calculations.,Solver Flag Inventory Plan Policy for replenishment policy
W Solver Flag Inventory Plan Policy,Solver Flag Inventory Plan Policy,Supply Planning,Inventory Planning & Management,"Manages inventory levels, replenishment, and stock policies including weeks-of-supply and days-of-supply targets.",HIGH,Solver configuration flag defining the overall inventory planning policy governing replenishment and safety stock calculations.,Solver Flag Inventory Plan Policy for replenishment policy
DFU Active,,Demand Planning,Demand Segmentation & Classification,"Classifies products, customers, and demand streams using ABC/XYZ and other frameworks for differentiated planning treatment.",HIGH,"Flag indicating whether a Demand Forecast Unit is currently active in the planning process, controlling its inclusion in forecasting runs.",DFU Active flag for planning inclusion control
DFU Active,,Demand Planning,Planning Metadata & Administration,"Captures administrative and configuration metadata supporting planning governance, audit trails, and system administration.",HIGH,"Flag indicating whether a Demand Forecast Unit is currently active in the planning process, controlling its inclusion in forecasting runs.",DFU Active flag for planning inclusion control
W Plan End Bucket,Plan End Bucket,Supply Planning,Supply Planning Configuration & Solver Settings,"Configures supply planning solver parameters, planning horizons, optimization strategies, and inventory plan policies.",HIGH,"Defines the end time bucket of the supply planning horizon, setting the terminal boundary for solver optimization.",Plan End Bucket for solver horizon end definition
W Ending On Hand,Closing Inv,Supply Planning,Inventory Planning & Management,"Manages inventory levels, replenishment, and stock policies including weeks-of-supply and days-of-supply targets.",HIGH,"Projected ending on-hand inventory at the close of a planning period, used to validate inventory adequacy against safety stock targets.",W Ending On Hand (Closing Inv) for inventory adequacy check
D Demand Priority,Demand Priority,Supply Planning,Demand Priority Management,"Prioritizes demand fulfillment across customers and SKUs based on business rules, enabling fair allocation under supply constraints.",HIGH,"Daily demand priority level assigned to orders or demand streams, governing allocation sequence under supply constraint scenarios.",D Demand Priority for daily demand allocation sequence
W Total Capacity Utilization %,Total Current Capacity Utilization %,Supply Planning,Capacity Planning & Utilization,"Plans and monitors manufacturing, distribution, and procurement capacity to identify bottlenecks and optimize resource use.",HIGH,"Weekly percentage of total available capacity consumed by planned production or distribution activities, monitoring capacity loading.",Total Capacity Utilization % for weekly capacity loading
W Resource Base Capacity,Resource Base Capacity,Supply Planning,Capacity Planning & Utilization,"Plans and monitors manufacturing, distribution, and procurement capacity to identify bottlenecks and optimize resource use.",HIGH,Baseline available capacity (in hours or units) for a planning resource before adjustments for downtime or efficiency factors.,W Resource Base Capacity for baseline capacity definition
W Total Capacity,Current Capacity (In Hours),Supply Planning,Capacity Planning & Utilization,"Plans and monitors manufacturing, distribution, and procurement capacity to identify bottlenecks and optimize resource use.",HIGH,"Total available planning capacity in hours for a resource, reflecting adjusted capacity after efficiency and downtime factors.",W Total Capacity (Hours) for adjusted resource capacity
PW Total Met On Time Quantity,Met Demand,Supply Planning,Demand Fulfillment & Order Management,"Tracks customer demand satisfaction by monitoring on-time, short, and late fulfillment quantities at weekly and daily granularity.",HIGH,"Partial-week total quantity of demand met on time, providing near-term operational fulfillment performance visibility.",PW Total Met On Time for near-term fulfillment tracking
PW Demand Quantity,Total Demand,Supply Planning,Demand Fulfillment & Order Management,"Tracks customer demand satisfaction by monitoring on-time, short, and late fulfillment quantities at weekly and daily granularity.",HIGH,"Total demand quantity in the partial week, representing the near-term demand signal for operational supply execution.",PW Demand Quantity for near-term operational demand signal
W Capacity RCA Quantity,Capacity Shortage (in Hours),Supply Planning,Capacity Planning & Utilization,"Plans and monitors manufacturing, distribution, and procurement capacity to identify bottlenecks and optimize resource use.",HIGH,"Weekly capacity shortage in hours identified through root cause analysis, quantifying the resource gap driving supply fulfillment failures.",Capacity Shortage (Hours) for capacity RCA quantification
